number,title,state,outcome_detail,opened_at_utc,merged_at_utc,closed_at_utc,merged_by,closed_by,url,merge_sha,retained_commit_count,retained_commit_author_counts,has_maintainer_authored_commit,force_push_events,merge_has_test_file_changes,review_highlight,later_follow_up,linked_issue_numbers,retained_commit_urls,source_file_overlap_with_later_noncohort_commits
7516,fix(RcMap): preserve replacement entries during invalidated resource cleanup,MERGED,merged,2026-08-28T15:17:53Z,2026-08-30T23:47:45Z,2026-08-30T23:47:45Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7516,a29e05a907053a8617763b4e7408e1f012b59049,2,kitlangton=1; tim-smart=1,True,0,True,Tim caught a surviving idle-timer fiber and changed external entry shutdown to interrupt it before closing the resource scope; added an immediate-interruption assertion.,"External adoption: [anomalyco/opencode#46074](https://github.com/anomalyco/opencode/pull/46074) proposes a backport for Location-service cleanup. It was opened before the Effect merge and remains open, so it is not a merged post-merge correction.",7515,https://github.com/Effect-TS/effect/commit/0e4793c87c18c5e26ad7c4f21e38f84c3a6bb128; https://github.com/Effect-TS/effect/commit/76ecd2d40feaaae845287feaaf33367dd52bc14c,
7576,fix(Queue): prevent duplicate messages from resumed producers,MERGED,merged,2026-09-02T00:17:24Z,2026-09-02T00:46:14Z,2026-09-02T00:46:14Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7576,c8ea60231ad69e23c0bf319f6f6b3ff28fc45e4b,2,kitlangton=2,False,0,True,"Kit expanded the initial reproduction-only commit into the implementation, covering reentrant shutdown, capacity overruns and zero-capacity handoffs. Tim's competing #7577 was closed; Kit's PR was merged.","Related extension: [#7806](https://github.com/Effect-TS/effect/pull/7806) added manual taker flushing and dispatcher coalescing on September 3. It concerns queue scheduling, not a documented regression in this producer-handoff fix.",7575,https://github.com/Effect-TS/effect/commit/75868de8893bd80a1ed46962f66d0606e0eeb349; https://github.com/Effect-TS/effect/commit/d37e2d93237179aa63269aafc1c6dcaf1476c95c,f7490d49c75b99118c6c42549511ffa166459f59
7583,fix(RequestResolver): evict cancelled pending cache entries,MERGED,merged,2026-09-02T01:15:27Z,2026-09-02T02:16:40Z,2026-09-02T02:16:40Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7583,1a86166f102b517ee4d89dca0095e28f738eee10,2,kitlangton=1; tim-smart=1,True,0,True,Tim tightened the release note; the retained implementation cleans abandoned cache entries before delay-fiber interruption can trigger a reentrant retry.,No specific later follow-up identified.,7582,https://github.com/Effect-TS/effect/commit/982a54e4f0316a69274caa8dc0edb76edb874c36; https://github.com/Effect-TS/effect/commit/08537c17f7d7c5eb9ceefe8348509f018f331868,9956f0e6f47096a6e31305ec2c7320b8e1a140af
7584,fix(PartitionedSemaphore): preserve new waiters during stale cleanup,MERGED,merged,2026-09-02T01:15:27Z,2026-09-02T02:08:38Z,2026-09-02T02:08:38Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7584,7245f87ace09806d15893df8f0bac8f0b9b817db,2,kitlangton=1; tim-smart=1,True,0,True,Tim clarified the same-key waiter regression's name; the fix remains a last-waiter deletion guard with permit refunds outside it.,No specific later follow-up identified.,7580,https://github.com/Effect-TS/effect/commit/51bc5b4599030efab511eb3df835948fa2b5b224; https://github.com/Effect-TS/effect/commit/c16cc708fb7c3513ed6aaf087e20a0a3ebbe7e87,
7585,fix(Cache): preserve newer entries when refresh is interrupted,MERGED,merged,2026-09-02T01:15:27Z,2026-09-02T01:59:06Z,2026-09-02T01:59:06Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7585,a8588f99a43dc9b85dacb14f7be5d3e1ed994d4f,1,kitlangton=1,False,0,True,One retained Kit-authored commit; cancellation now checks entry identity before deleting a refreshed entry.,No specific later follow-up identified.,7578,https://github.com/Effect-TS/effect/commit/2e5ba52109e3b4996117b3ef6972f2fc23a38f96,
7586,fix(RcRef): preserve replacement resources during borrower cleanup,MERGED,merged,2026-09-02T01:15:27Z,2026-09-02T02:34:39Z,2026-09-02T02:34:39Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7586,222e7caa4bb0da6d81a4eabf25dffc181c20f6a3,2,kitlangton=1; tim-smart=1,True,0,True,Tim simplified release-ownership checks and adjusted the lifecycle regressions.,No specific later follow-up identified.,7579,https://github.com/Effect-TS/effect/commit/00bc7ca99aa901d171efe0b548ab61fe23e2e0d4; https://github.com/Effect-TS/effect/commit/2d24cd106c64f7263c6363ec676b78e07479488a,
7587,fix(Cache): preserve replacements during conditional invalidation,MERGED,merged,2026-09-02T01:15:28Z,2026-09-02T02:32:31Z,2026-09-02T02:32:31Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7587,debe8fdc15d00d51cf707353365d7b877123eec6,2,kitlangton=1; tim-smart=1,True,0,True,Tim clarified that both Cache and ScopedCache conditional invalidation preserve replacement entries.,No specific later follow-up identified.,7581,https://github.com/Effect-TS/effect/commit/a599f67287b749d4f517032953950186231cfae7; https://github.com/Effect-TS/effect/commit/de8a81032315fde192bad7cc8b6794d354747b92,
7594,fix(RequestResolver): preserve cached race winners,MERGED,merged,2026-09-02T02:13:11Z,2026-09-02T03:37:05Z,2026-09-02T03:37:05Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7594,0af0985d5c132b33e14a2df59e0567d7ba2a1710,1,kitlangton=1,False,1,True,One retained Kit-authored commit; late interrupted race losers cannot overwrite an already-completed cached result.,No specific later follow-up identified.,7592,https://github.com/Effect-TS/effect/commit/f43d69f9fd3f4f3abbe6251f7df425bc7d19a2be,
7595,fix(Cache): preserve replacement values after zero-TTL refresh,MERGED,merged,2026-09-02T02:13:11Z,2026-09-02T02:40:14Z,2026-09-02T02:40:14Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7595,f30cbfe53951128ad8124ae733f12423dbc78bd8,1,kitlangton=1,False,0,True,One retained Kit-authored commit; zero-TTL refresh completion removes only its own pending entry.,No specific later follow-up identified.,7590,https://github.com/Effect-TS/effect/commit/96963eee89bdcd73ad08d88843580467b3b3d18c,
7596,fix(Cache): enforce capacity when publishing refreshed entries,MERGED,merged,2026-09-02T02:13:12Z,2026-09-02T02:41:11Z,2026-09-02T02:41:11Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7596,f17eb0a6f669e09647c5ded5832ea6baac596659,1,kitlangton=1,False,0,True,One retained Kit-authored commit; both cache implementations enforce capacity after refresh republishes an evicted key.,No specific later follow-up identified.,7593,https://github.com/Effect-TS/effect/commit/6635c3169c6bbfc1826a145d9cdae00f445e2879,
7597,fix(RequestResolver): register requests before synchronous delays,CLOSED,closed_unmerged_no_recorded_reason,2026-09-02T02:13:12Z,,2026-09-02T02:42:41Z,,tim-smart,https://github.com/Effect-TS/effect/pull/7597,,1,kitlangton=1,False,0,,Tim closed the PR without an explanatory comment. One retained Kit-authored commit.,No confirmed merged replacement identified.,7589,https://github.com/Effect-TS/effect/commit/84b9fde758b791921715a7fa4f3114f06e0f1367,
7598,fix(RcRef): reject acquisitions completed after owner shutdown,MERGED,merged,2026-09-02T02:13:12Z,2026-09-02T02:55:25Z,2026-09-02T02:55:26Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7598,bb99734ef87bcc377c628bc4072aa856ce5f7ca6,1,kitlangton=1,False,2,True,One retained Kit-authored commit; late acquisition checks Closed before publishing and releases the resource through the existing failure path.,No specific later follow-up identified.,7591,https://github.com/Effect-TS/effect/commit/e55d7b9f784811600ab882eefc8a56af7b0f425a,
7603,fix(PubSub): advance sliding subscribers past dropped messages,MERGED,merged,2026-09-02T02:36:12Z,2026-09-02T03:10:13Z,2026-09-02T03:10:13Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7603,1320075fd4ed381f60f6f37f280dbec17cb29b81,2,kitlangton=1; tim-smart=1,True,0,True,Tim revised capacity-one polling and unsubscribe handling and strengthened the regression coverage before merge.,"Confirmed correction: [#7607](https://github.com/Effect-TS/effect/pull/7607), merged September 2, explicitly follows this PR. It prevents pollUpTo from confusing a published MutableList.Empty value with absence and strengthens unsubscribe/resubscribe coverage.",7601,https://github.com/Effect-TS/effect/commit/50c2f82b181addfff55c665221f2be43644ac296; https://github.com/Effect-TS/effect/commit/239bf7c65907380e8b7fbac81cfb2b09a59b8d4f,5f8ad105c06fb4810059999fde17ce393940a136
7604,fix(Pool): preserve reservations during borrower release,MERGED,merged,2026-09-02T02:36:13Z,2026-09-02T03:19:40Z,2026-09-02T03:19:40Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7604,cd83544dd594b99e8ea0d7a7645c086f5861769b,3,kitlangton=1; tim-smart=2,True,0,True,"Tim corrected overlapping-reservation accounting and excluded reserved items from usage-TTL reclamation, then tightened the changeset.",No specific later follow-up identified.,7599,https://github.com/Effect-TS/effect/commit/15c2ef0008d4f6180ca2feb7fc2d939a2cbe7412; https://github.com/Effect-TS/effect/commit/286d00c34a37c31f8050b9b1c748def0d53f0732; https://github.com/Effect-TS/effect/commit/71106107fbc5012ac5549ed68f8d26de46af7682,
7605,fix(RcMap): handle synchronous lookup defects,MERGED,merged,2026-09-02T02:36:13Z,2026-09-02T02:46:24Z,2026-09-02T02:46:24Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7605,1aa1d8bd0f2c2d429938657927f34f8ff0f940a0,1,kitlangton=1,False,0,True,One retained Kit-authored commit; suspending lookup construction lets existing fiber cleanup handle synchronous defects.,No specific later follow-up identified.,7600,https://github.com/Effect-TS/effect/commit/ae220b3d1399f5103ce487d6f434ee31580af380,
7606,fix(ScopedCache): detach invalidated entries before finalization,MERGED,merged,2026-09-02T02:36:13Z,2026-09-02T02:48:27Z,2026-09-02T02:48:28Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7606,78a42697f6085c87c09b18e8095bb7541bd65261,1,kitlangton=1,False,0,True,One retained Kit-authored commit; bulk invalidation snapshots and clears entries before running reentrant finalizers.,No specific later follow-up identified.,7602,https://github.com/Effect-TS/effect/commit/698c8d1b1c9460883849b27d48d671b0d4a29e2b,
7612,fix(ScopedCache): capture refresh lookup callback defects,MERGED,merged,2026-09-02T03:19:16Z,2026-09-02T04:07:42Z,2026-09-02T04:07:42Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7612,06c6307d3d5538bc398c67a44239bc3d52ab1a4d,2,kitlangton=1; tim-smart=1,True,0,True,Tim reduced the refresh-defect fixture to focused missing-key/existing-key coverage and shortened the release note.,No specific later follow-up identified.,7609,https://github.com/Effect-TS/effect/commit/dc20c0b5b29bd904eed30776494fab4f590d263d; https://github.com/Effect-TS/effect/commit/cd4e13418b67d205bd4fbced87a0ba47f39901ff,
7613,fix(RequestResolver): preserve persisted batch failure results,MERGED,merged,2026-09-02T03:19:16Z,2026-09-02T04:12:03Z,2026-09-02T04:12:03Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7613,0856631a89d8f72d206c366905ddac75468a8e85,2,kitlangton=1; tim-smart=1,True,1,True,Tim reduced the persisted-batch failure reproduction and clarified the changeset.,No specific later follow-up identified.,7610,https://github.com/Effect-TS/effect/commit/e6106080a2480f0ffaaa98db6869775bd543ccb2; https://github.com/Effect-TS/effect/commit/e06eadf7ecb26eb95b85cbdcf7c7254a89833631,
7614,fix(Cache): avoid caching synchronous interruptions,MERGED,merged,2026-09-02T03:19:16Z,2026-09-02T04:11:47Z,2026-09-02T04:11:47Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7614,78cc9c0d0f36b59f7034b2ace56a4a5c02b7a551,2,kitlangton=1; tim-smart=1,True,0,True,Tim minimized the synchronous-interruption regression and shortened the release note.,No specific later follow-up identified.,7608,https://github.com/Effect-TS/effect/commit/ef35bf94706d3275303c94c1526eaf2f402d47d8; https://github.com/Effect-TS/effect/commit/7c8b68ac191b041fb3797be79a439b8a51f4e755,
7615,fix(FiberMap): retain reentrant replacement ownership,MERGED,merged,2026-09-02T03:19:17Z,2026-09-02T03:35:26Z,2026-09-02T03:35:26Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7615,8ac53b6ae677f06d88d7d81f932ab5ff9b59a10e,1,kitlangton=1,False,0,True,One retained Kit-authored commit; install the new fiber before interrupting its predecessor so reentrant replacements remain owned.,No specific later follow-up identified.,7611,https://github.com/Effect-TS/effect/commit/2ab42f31d6767636081c4247c6189e3973db682f,
7617,fix(Chunk): preserve sliced elements during concatenation,MERGED,merged,2026-09-02T04:16:00Z,2026-09-02T05:01:23Z,2026-09-02T05:01:23Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7617,02be94ce78a3c9fc1e4c516d37d8e11e1c0eef2e,3,kitlangton=1; tim-smart=2,True,0,True,Tim reduced the sliced-concatenation regression and switched it to the shared assertion helper.,No specific later follow-up identified.,7616,https://github.com/Effect-TS/effect/commit/973047c042877db32d836f5158275638be694de0; https://github.com/Effect-TS/effect/commit/b59aced9bd556d10c2c6e831f3adebb079b3862f; https://github.com/Effect-TS/effect/commit/076dab15d3975cdf92b1c6f9c15fea9372263db8,
7619,fix(Struct): honor numeric property selections,MERGED,merged,2026-09-02T04:16:05Z,2026-09-02T04:57:46Z,2026-09-02T04:57:46Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7619,8efc70ea16bee43fd9adde2871cf82a8131b80a0,3,tim-smart=3,True,1,True,The retained branch is Tim-authored test/fix/refactor commits; the final selector predicate avoids allocating a Set while matching numeric property keys.,No specific later follow-up identified.,7618,https://github.com/Effect-TS/effect/commit/3590da773f2c518df14fce470d5982ad1dc72691; https://github.com/Effect-TS/effect/commit/39bfa4b5dbd5d4f73ca5142edded39e9a4dd9892; https://github.com/Effect-TS/effect/commit/16d03a13780ce00f33ffce35dbf1a1a0af942c78,
7621,fix(DateTime): apply calendar parts without intermediate overflow,MERGED,merged,2026-09-02T04:16:09Z,2026-09-02T04:46:48Z,2026-09-02T04:46:48Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7621,f05ae0b3fd2cfc7f12b668af244b3cf3fae59bc5,3,kitlangton=1; tim-smart=2,True,0,True,"Tim isolated a failing calendar-overflow test and applied year, month and day atomically with setUTCFullYear.",No specific later follow-up identified.,7620,https://github.com/Effect-TS/effect/commit/448e2951da9c21ccb6eb6569874c74ade8a3e015; https://github.com/Effect-TS/effect/commit/0b6965d0779730b01326bde81ef113f0c7bfbbb4; https://github.com/Effect-TS/effect/commit/2b62c68c6a06b4fab14b014ebf96dadce6036e8d,
7623,fix(UrlParams): coerce scalar null inputs,MERGED,merged,2026-09-02T04:16:13Z,2026-09-02T04:42:13Z,2026-09-02T04:42:13Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7623,59812fd221cde16fc77c03d326c6a2cf8fbec6b9,3,kitlangton=1; tim-smart=2,True,0,True,"Tim isolated the scalar-null reproduction, reduced the tests and reapplied the null recursion guard.",No specific later follow-up identified.,7622,https://github.com/Effect-TS/effect/commit/69fc95c93b6d8c0ef7259d865a66cddd7b4598e1; https://github.com/Effect-TS/effect/commit/2c763fd30c0e2589b6e5bb2cca2b391418e26978; https://github.com/Effect-TS/effect/commit/7070a53e078e0799b9435ecb1b389f490004f216,
7625,fix(HashMap): isolate extracted collision entries,MERGED,merged,2026-09-02T04:16:17Z,2026-09-02T04:47:31Z,2026-09-02T04:47:31Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7625,f921ed305c63415dc468e94d9319cc3237119138,3,kitlangton=1; tim-smart=2,True,0,True,Tim reduced the collision reproduction and landed fresh iterator tuples to prevent callers mutating stored bindings.,No specific later follow-up identified.,7624,https://github.com/Effect-TS/effect/commit/4f43b8d40aaed1d1d19595c5045b29c0f418938b; https://github.com/Effect-TS/effect/commit/23cff003ec1d019d2cf59db4e7145bad5bce3547; https://github.com/Effect-TS/effect/commit/94c5cbdc4a262e50d0c3d3b8f88ee5a11187d8e0,
7627,fix(Headers): match stateful redaction patterns independently,MERGED,merged,2026-09-02T04:16:21Z,2026-09-02T04:57:26Z,2026-09-02T04:57:26Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7627,aa0aba383382ca1b99fbe618dceba63c3a5a6a53,4,kitlangton=1; tim-smart=3,True,0,True,"Tim added caller-owned regex-cursor checks and changed the implementation to String.search, avoiding mutation of global/sticky lastIndex.",No specific later follow-up identified.,7626,https://github.com/Effect-TS/effect/commit/ae6e0863aeaf98db1cf34c95060b4b7c96f7ab16; https://github.com/Effect-TS/effect/commit/c5103368ecf8571835da6f02dea982cbd0c4fcbd; https://github.com/Effect-TS/effect/commit/43f5f8ada2b8880a8203fe3180ebd79624de1cc3; https://github.com/Effect-TS/effect/commit/95ab45e727dbf14b4211630b33434129b51b61f6,
7629,fix(Headers): compare redacted names case-insensitively,MERGED,merged,2026-09-02T04:16:24Z,2026-09-02T04:43:18Z,2026-09-02T04:43:18Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7629,829aff97d71d7900b7765ba2f63e33874b898cdc,3,kitlangton=1; tim-smart=2,True,0,True,Tim isolated a failing case-insensitive match test and landed the lowercased string comparison.,No specific later follow-up identified.,7628,https://github.com/Effect-TS/effect/commit/6faedae12df6df20a9995d72e8f30353448d904d; https://github.com/Effect-TS/effect/commit/31c027374634848c60fa9a59dd7ee092aba7a81b; https://github.com/Effect-TS/effect/commit/e5b7ea715cedf295deaa3b513085d463f8fd3417,
7631,fix(UrlParams): preserve immutable setAll overrides,MERGED,merged,2026-09-02T04:16:29Z,2026-09-02T05:13:08Z,2026-09-02T05:13:08Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7631,f9d0dec12c5f229f05d7a74d532a85c6bbffefbf,3,kitlangton=1; tim-smart=2,True,1,True,Tim reduced the reusable-override regression and landed copy-before-append behavior.,No specific later follow-up identified.,7630,https://github.com/Effect-TS/effect/commit/cdd6f5e2b16834a00b60dc3d45371f49bf6ad842; https://github.com/Effect-TS/effect/commit/f5e8e7b1a362ac77a3fa7ffc84ed08c7da7d51ef; https://github.com/Effect-TS/effect/commit/2559fd9ddc42f4b2ada085413f4d0709fc02f8a6,
7633,fix(sql): compile identifiers in returning helpers,MERGED,merged,2026-09-02T04:16:33Z,2026-09-02T04:39:19Z,2026-09-02T04:39:20Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7633,1693a877324273f5a23fa7d7fc892f4ee12f20c2,2,kitlangton=1; tim-smart=1,True,0,True,Tim tightened the changeset; identifier wrapping remains in shared SQL-core compilation.,No specific later follow-up identified.,7632,https://github.com/Effect-TS/effect/commit/66535d59ad8c5085e82862286053a2b3d3b913da; https://github.com/Effect-TS/effect/commit/6bb5f755a102215db01f95e2c164b604d99c2ebb,ef165814eae0a199fdca5b3c2839bb4fcdfd5b5d
7635,fix(sql): renumber cached returning fragments,MERGED,merged,2026-09-02T04:16:37Z,2026-09-02T04:48:24Z,2026-09-02T04:48:24Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7635,7bd3f34385a06157b249a351e32ffdcbe1cf2c37,3,kitlangton=1; tim-smart=2,True,0,True,Tim isolated the cached-placeholder regression and landed the nested-allocation cache bypass.,No specific later follow-up identified.,7634,https://github.com/Effect-TS/effect/commit/068f260cd5188578eb46a03d78698826407b4309; https://github.com/Effect-TS/effect/commit/4ad635d9203b6c8814e9622e554a0341aa0f7581; https://github.com/Effect-TS/effect/commit/100074f6646ce73b83f4b9c5513ff5527dc00baa,ef165814eae0a199fdca5b3c2839bb4fcdfd5b5d
7637,fix(Prompt): preserve text parts during serialization,MERGED,merged,2026-09-02T04:16:41Z,2026-09-02T04:55:13Z,2026-09-02T04:55:13Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7637,44464510114773e1ebd1abb6efffa382cf69998e,2,tim-smart=2,True,1,True,The retained branch is Tim-authored reproduction/fix commits; compact encoding is now restricted to a single option-free text part.,No specific later follow-up identified.,7636,https://github.com/Effect-TS/effect/commit/05249b0b2426d6b27c5a953262fb9775e45e5748; https://github.com/Effect-TS/effect/commit/def8a879c1eb1458a8e793753cecd1fb88fafd67,
7639,fix(Prompt): retain JSON-restorable response attachments,MERGED,merged,2026-09-02T04:16:46Z,2026-09-02T04:50:48Z,2026-09-02T04:50:48Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7639,58be97238ee1f6cd26f6a3a645d1df97a091a224,3,kitlangton=1; tim-smart=2,True,0,True,Tim reproduced attachment loss and landed response-file conversion with JSON-restorable base64 payloads.,No specific later follow-up identified.,7638,https://github.com/Effect-TS/effect/commit/a4e9f10d71aa13b01451db5de787d417178afc74; https://github.com/Effect-TS/effect/commit/27bdfa47a201a892697b86edc809b5d894f29890; https://github.com/Effect-TS/effect/commit/fe32019611b5860d5756c68a916953b44817fbfd,
7641,fix(SchemaGetter): preserve duplicate array-valued leaves,MERGED,merged,2026-09-02T04:16:50Z,2026-09-02T05:02:56Z,2026-09-02T05:02:56Z,tim-smart,tim-smart,https://github.com/Effect-TS/effect/pull/7641,629870d461b36d3dacb30c8d203b8d20d4beaba0,2,kitlangton=1; tim-smart=1,True,0,True,Tim reduced the duplicate array-leaf regression; caller arrays are distinguished from internal accumulation buffers.,"Related hardening: [#7855](https://github.com/Effect-TS/effect/pull/7855), merged September 3, applies canonical JavaScript index validation to bracket-path parsing. It changes the same tree-building path, not the duplicate-leaf ownership fix.",7640,https://github.com/Effect-TS/effect/commit/5c706ec5c202d2201ace5d95883080788b9c340d; https://github.com/Effect-TS/effect/commit/eada542b09bef264730cefe5e97d607e349154ef,4372c79a32fcecc7b6b284d49a215b2c4fef9d77
